               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,             0.02478,             0.02615,           0.0024972,             0.97662,             0.98255,             0.98353,             0.73009,            0.020389,            0.016268,           0.0020902,           0.0074507,           0.0074507,           0.0074507
                 105,            0.024391,            0.025255,           0.0025533,             0.97461,              0.9804,             0.98472,             0.73215,            0.020141,            0.016353,           0.0022957,            0.007426,            0.007426,            0.007426
                 106,            0.024501,            0.025649,           0.0027142,             0.97919,             0.98063,             0.98417,             0.72922,            0.020249,            0.016486,           0.0021618,           0.0074013,           0.0074013,           0.0074013
                 107,             0.02441,             0.02561,           0.0026595,             0.97565,             0.98288,             0.98362,             0.73062,             0.02055,            0.016438,           0.0020678,           0.0073765,           0.0073765,           0.0073765
                 108,             0.02405,             0.02555,           0.0024823,              0.9793,             0.97842,             0.98436,             0.72764,            0.020583,            0.016455,           0.0021473,           0.0073517,           0.0073517,           0.0073517
                 109,            0.024335,            0.025194,            0.002447,             0.97883,             0.98065,             0.98459,             0.72962,            0.020352,            0.016455,           0.0021707,            0.007327,            0.007327,            0.007327
                 110,            0.024139,            0.025215,            0.002464,             0.96922,             0.98582,             0.98537,             0.73481,             0.02029,            0.016356,           0.0021257,           0.0073023,           0.0073023,           0.0073023
                 111,              0.0241,            0.025001,           0.0024927,             0.98106,             0.98136,             0.98639,             0.72963,            0.020535,            0.016469,           0.0021037,           0.0072775,           0.0072775,           0.0072775
                 112,            0.024448,            0.025013,           0.0026121,             0.97963,             0.98287,             0.98688,             0.72989,             0.02083,             0.01647,           0.0020612,           0.0072527,           0.0072527,           0.0072527
                 113,            0.024472,             0.02508,           0.0027086,             0.97714,             0.98461,             0.98376,              0.7315,            0.020589,             0.01643,           0.0020886,            0.007228,            0.007228,            0.007228
                 114,            0.024042,             0.02552,           0.0023306,             0.97602,             0.98231,             0.98286,             0.72634,            0.020581,            0.016397,           0.0021121,           0.0072033,           0.0072033,           0.0072033
                 115,            0.023725,            0.025141,           0.0024533,             0.97996,             0.98186,             0.98476,              0.7296,            0.020493,            0.016216,           0.0021528,           0.0071785,           0.0071785,           0.0071785
                 116,            0.023747,            0.024864,           0.0024008,             0.97755,             0.97737,             0.98445,              0.7342,            0.020303,            0.016198,           0.0021685,           0.0071538,           0.0071538,           0.0071538
                 117,            0.023936,             0.02512,           0.0024005,             0.97501,             0.98243,             0.98356,             0.73057,            0.020265,            0.016277,           0.0022423,            0.007129,            0.007129,            0.007129
                 118,             0.02403,            0.025367,           0.0024365,             0.97705,             0.98029,             0.98339,             0.73119,            0.020166,            0.016222,           0.0022436,           0.0071042,           0.0071042,           0.0071042
                 119,            0.024364,            0.025266,           0.0025555,             0.97373,             0.98009,             0.98356,             0.72846,            0.020549,             0.01633,           0.0021844,           0.0070795,           0.0070795,           0.0070795
                 120,            0.023857,             0.02526,             0.00261,             0.97484,             0.97922,             0.98485,             0.72978,            0.020468,            0.016381,           0.0021357,           0.0070547,           0.0070547,           0.0070547
                 121,            0.023865,            0.024809,           0.0026217,             0.97718,              0.9779,             0.98504,             0.73203,            0.020302,            0.016429,           0.0021231,             0.00703,             0.00703,             0.00703
                 122,            0.023525,            0.024822,           0.0023223,              0.9737,             0.98287,             0.98499,             0.73088,            0.020454,            0.016427,           0.0021575,           0.0070053,           0.0070053,           0.0070053
                 123,             0.02381,            0.024904,           0.0024033,             0.97265,             0.98295,             0.98509,             0.73228,            0.020421,            0.016327,           0.0021281,           0.0069805,           0.0069805,           0.0069805
                 124,            0.023849,            0.024848,           0.0024542,             0.98111,               0.977,             0.98506,             0.72903,            0.020582,            0.016462,           0.0020549,           0.0069558,           0.0069558,           0.0069558
                 125,            0.023514,            0.024547,           0.0024751,             0.97505,             0.98175,             0.98389,             0.72968,            0.020418,            0.016473,           0.0021639,            0.006931,            0.006931,            0.006931
                 126,            0.023641,            0.024968,           0.0023491,             0.97939,             0.98126,             0.98248,             0.73159,            0.020427,            0.016416,           0.0022087,           0.0069063,           0.0069063,           0.0069063
                 127,            0.023892,            0.025189,           0.0026491,             0.97609,             0.98258,              0.9853,             0.73731,            0.020194,            0.016379,           0.0021491,           0.0068815,           0.0068815,           0.0068815
                 128,            0.023295,            0.024309,           0.0023892,             0.98028,             0.98031,             0.98461,             0.73762,            0.020275,            0.016468,           0.0022376,           0.0068568,           0.0068568,           0.0068568
                 129,            0.023758,            0.024948,             0.00237,             0.98146,             0.98058,             0.98464,             0.73414,            0.020298,            0.016479,           0.0022225,            0.006832,            0.006832,            0.006832
                 130,            0.023609,            0.024427,           0.0024339,             0.98072,             0.98008,             0.98536,             0.73564,            0.020235,            0.016364,           0.0021641,           0.0068073,           0.0068073,           0.0068073
                 131,            0.023819,            0.024864,           0.0024492,             0.98026,             0.97895,             0.98351,             0.73145,            0.020362,            0.016337,           0.0022083,           0.0067825,           0.0067825,           0.0067825
                 132,            0.023682,            0.024392,           0.0023923,             0.97981,             0.97936,             0.98456,             0.73146,            0.020338,             0.01636,           0.0021626,           0.0067577,           0.0067577,           0.0067577
                 133,            0.023908,            0.025203,           0.0025503,             0.97662,             0.98062,             0.98333,             0.73036,            0.020239,            0.016288,           0.0021816,            0.006733,            0.006733,            0.006733
                 134,            0.023773,            0.025032,           0.0024832,             0.97673,             0.97808,             0.98275,             0.72442,            0.020453,            0.016463,           0.0022822,           0.0067082,           0.0067082,           0.0067082
                 135,            0.023278,            0.024162,           0.0022881,             0.97781,             0.97724,             0.98254,             0.72921,            0.020356,            0.016496,           0.0022596,           0.0066835,           0.0066835,           0.0066835
                 136,            0.023544,             0.02498,           0.0024096,             0.97911,              0.9782,             0.98441,             0.73155,             0.02026,            0.016467,           0.0022113,           0.0066587,           0.0066587,           0.0066587
                 137,            0.023228,            0.024283,            0.002314,             0.97878,             0.97695,             0.98656,             0.73529,            0.020134,            0.016465,           0.0021405,            0.006634,            0.006634,            0.006634
                 138,            0.022951,             0.02474,           0.0023751,             0.97696,             0.97466,             0.98517,             0.73154,            0.020204,            0.016479,           0.0021506,           0.0066092,           0.0066092,           0.0066092
                 139,            0.023256,            0.024225,           0.0022799,             0.97689,             0.97898,             0.98551,             0.73126,            0.020173,             0.01644,           0.0021364,           0.0065845,           0.0065845,           0.0065845
                 140,            0.022915,            0.024587,           0.0022748,             0.97139,             0.98308,              0.9841,             0.72984,            0.020184,            0.016407,           0.0020867,           0.0065598,           0.0065598,           0.0065598
                 141,            0.023157,            0.024373,           0.0022827,              0.9747,             0.98063,             0.98465,               0.732,            0.020248,            0.016506,           0.0020708,            0.006535,            0.006535,            0.006535
                 142,            0.023074,            0.024483,           0.0022967,             0.96972,             0.98196,             0.98401,             0.73044,            0.020149,            0.016493,            0.002117,           0.0065102,           0.0065102,           0.0065102
                 143,             0.02334,            0.024114,           0.0025194,             0.96814,             0.98251,             0.98433,             0.73172,            0.020204,            0.016548,           0.0022038,           0.0064855,           0.0064855,           0.0064855
                 144,            0.023568,             0.02459,           0.0024191,             0.97485,              0.9819,             0.98241,             0.73123,            0.020155,            0.016453,           0.0021916,           0.0064608,           0.0064608,           0.0064608
                 145,            0.023273,            0.024776,           0.0023603,             0.97837,             0.98113,             0.98496,             0.73383,            0.020167,            0.016445,           0.0021618,            0.006436,            0.006436,            0.006436
                 146,            0.023031,            0.024706,           0.0023291,             0.97685,             0.98175,             0.98597,             0.73533,            0.020281,            0.016465,           0.0021439,           0.0064112,           0.0064112,           0.0064112
                 147,            0.023214,            0.024479,           0.0024897,             0.97679,             0.98106,             0.98621,             0.73351,            0.020232,            0.016485,           0.0021417,           0.0063865,           0.0063865,           0.0063865
                 148,            0.023163,            0.024756,           0.0023014,             0.97782,             0.98059,             0.98601,             0.73396,            0.020265,            0.016482,            0.002142,           0.0063618,           0.0063618,           0.0063618
                 149,            0.023315,            0.024686,           0.0025015,             0.97823,             0.97882,             0.98473,             0.73093,            0.020327,            0.016523,           0.0021712,            0.006337,            0.006337,            0.006337
                 150,            0.023445,            0.024622,           0.0023214,             0.97797,             0.98119,             0.98581,             0.73128,             0.02035,            0.016517,           0.0021356,           0.0063122,           0.0063122,           0.0063122
                 151,            0.022997,            0.024358,           0.0024551,             0.97664,             0.98361,             0.98637,             0.73624,            0.020243,            0.016493,           0.0020824,           0.0062875,           0.0062875,           0.0062875
                 152,            0.023043,            0.024215,           0.0023603,             0.97578,             0.98063,             0.98581,             0.73304,             0.02018,            0.016571,           0.0020928,           0.0062628,           0.0062628,           0.0062628
                 153,            0.023211,             0.02434,           0.0022717,             0.97782,             0.97891,             0.98602,             0.73474,            0.020105,            0.016581,           0.0020965,            0.006238,            0.006238,            0.006238
                 154,            0.022992,            0.024418,           0.0023081,              0.9799,             0.98131,             0.98625,             0.73572,            0.020065,            0.016603,           0.0021421,           0.0062132,           0.0062132,           0.0062132
